time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-09T23:26:27.790Z,44.2726667,-114.5591667,19.24,2.73,ml,30,107,0.718,0.33,mb,mb80292774,2018-05-09T23:48:02.690Z,"36km SW of Challis, Idaho",earthquake,1.56,4.01,0.252,13,reviewed,mb,mb
2018-05-09T21:53:27.723Z,62.0115,-151.0267,60.9,2.8,ml,,,,0.68,ak,ak19400404,2018-05-09T22:19:27.040Z,"59km WNW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-05-09T21:26:00.310Z,-6.2866,104.9234,60.42,5.3,mww,,53,2.738,1.12,us,us1000e1mn,2018-05-09T21:43:31.040Z,"79km SSW of Padangcermin, Indonesia",earthquake,7.3,5.8,0.071,19,reviewed,us,us
2018-05-09T21:07:47.770Z,17.5812,-83.3705,10,4.2,mb,,66,5.136,1.4,us,us1000e1m1,2018-05-09T21:46:17.040Z,"62km ENE of Great Swan Island, Honduras",earthquake,2.5,2,0.166,10,reviewed,us,us
2018-05-09T21:02:41.570Z,13.9498,145.7448,92.19,5.3,mb,,57,0.923,1,us,us1000e1lx,2018-05-09T23:39:18.724Z,"62km ESE of Rota, Northern Mariana Islands",earthquake,6,5.8,0.033,299,reviewed,us,us
2018-05-09T19:15:06.550Z,19.4308333,-155.2655,0.01,2.52,ml,15,138,0.004266,0.07,hv,hv70134986,2018-05-09T19:47:10.292Z,"2km W of Volcano, Hawaii",earthquake,0.23,0.11,0.179,5,reviewed,hv,hv
2018-05-09T18:37:37.970Z,19.428,-155.2723333,0.11,2.85,ml,11,106,0.004485,0.08,hv,hv70134911,2018-05-09T19:24:39.839Z,"3km W of Volcano, Hawaii",earthquake,0.25,0.14,0.165,9,reviewed,hv,hv
2018-05-09T18:37:21.900Z,19.3968334,-155.260498,-0.22,2.8,ml,8,145,0.005408,0.11,hv,hv70134906,2018-05-09T19:30:06.529Z,"4km SSW of Volcano, Hawaii",earthquake,0.2,0.39,2.6,10,automatic,hv,hv
2018-05-09T18:34:01.390Z,19.4265003,-155.2716675,0.28,2.85,ml,39,45,0.003805,0.17,hv,hv70134901,2018-05-09T18:45:02.661Z,"3km W of Volcano, Hawaii",earthquake,0.24,0.18,2.96,30,automatic,hv,hv
2018-05-09T18:25:49.260Z,19.4016666,-155.2825012,0.12,2.92,ml,22,69,0.01042,0.11,hv,hv70134881,2018-05-09T18:40:18.319Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.41,13,automatic,hv,hv
2018-05-09T17:03:41.150Z,33.5196667,-116.5756667,10.62,2.84,ml,121,24,0.03301,0.18,ci,ci38169344,2018-05-09T23:09:10.612Z,"10km ESE of Anza, CA",earthquake,0.1,0.15,0.157,163,reviewed,ci,ci
2018-05-09T17:01:01.910Z,19.433,-154.8945,4.54,2.72,ml,7,231,0.03196,0.08,hv,hv70134706,2018-05-09T20:34:08.330Z,"4km SSE of Leilani Estates, Hawaii",earthquake,1.22,1.11,0.199,9,reviewed,hv,hv
2018-05-09T16:25:18.530Z,51.6785,-170.3748,32.23,4,mb,,213,1.18,1.22,us,us1000e1eu,2018-05-09T21:43:36.040Z,"108km SE of Amukta Island, Alaska",earthquake,8.4,10.1,0.054,91,reviewed,us,us
