time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-19T19:26:51.130Z,33.4968338,-116.805336,2.71,3.46,mlr,110,26,0.08892,0.24,ci,ci37944431,2018-05-19T19:40:20.153Z,"8km NE of Aguanga, CA",earthquake,0.21,1.33,0.298,15,reviewed,ci,ci
2018-05-19T19:24:14.450Z,33.4956665,-116.8089981,1.44,3.2,ml,129,12,0.09178,0.24,ci,ci37944407,2018-05-19T19:35:35.102Z,"8km NE of Aguanga, CA",earthquake,0.17,0.49,0.286,15,reviewed,ci,ci
2018-05-19T19:08:36.740Z,-4.3648,102.4088,64.48,5,mb,,91,0.545,0.93,us,us1000e8nf,2018-05-19T19:31:57.040Z,"64km SSE of Bengkulu, Indonesia",earthquake,8.3,6.7,0.075,57,reviewed,us,us
2018-05-19T18:14:41.000Z,40.3194,19.7386,10.66,4.7,mb,,52,0.238,1.28,us,us1000e8mg,2018-05-19T18:38:26.040Z,"20km W of Memaliaj, Albania",earthquake,4.6,4.1,0.057,93,reviewed,us,us
2018-05-19T17:49:46.610Z,19.4033337,-155.2866669,0.64,2.74,ml,21,47,0.01021,0.23,hv,hv70164326,2018-05-19T17:55:30.400Z,"5km WSW of Volcano, Hawaii",earthquake,0.25,0.26,0.3,12,automatic,hv,hv
2018-05-19T17:48:50.690Z,14.9453,-94.0829,34.8,4.2,mb,,184,2.298,1.02,us,us1000e8lt,2018-05-19T18:29:17.040Z,"117km SSW of Tres Picos, Mexico",earthquake,9.7,7.9,0.077,47,reviewed,us,us
2018-05-19T17:45:48.910Z,14.7977,144.5031,13.99,4.9,mb,,38,1.252,0.76,us,us1000e8lq,2018-05-19T18:04:02.040Z,"103km NW of Rota, Northern Mariana Islands",earthquake,6.3,4.3,0.054,109,reviewed,us,us
2018-05-19T17:00:36.830Z,-25.4616,-70.8166,24.01,4.1,mwr,,142,0.711,1.17,us,us1000e8l5,2018-05-19T17:54:27.040Z,"34km WSW of Taltal, Chile",earthquake,6.2,4.7,0.052,35,reviewed,us,us
2018-05-19T15:37:05.250Z,19.4123325,-155.2228394,0.79,2.6,ml,40,46,0.01486,0.25,hv,hv70164016,2018-05-19T16:30:39.154Z,"2km SE of Volcano, Hawaii",earthquake,0.26,0.31,2.11,20,automatic,hv,hv
2018-05-19T14:47:51.609Z,40.5229,-118.6561,2.2,2.5,ml,24,91.65,0.986,0.146,nn,nn00635936,2018-05-19T15:24:53.860Z,"41km NNW of Lovelock, Nevada",earthquake,,2.1,0.25,14,reviewed,nn,nn
2018-05-19T14:03:05.910Z,-11.4472,117.3962,37.46,4.5,mb,,100,4.354,1.04,us,us1000e8jr,2018-05-19T17:09:00.040Z,"267km SW of Panenggoede, Indonesia",earthquake,3.4,8.4,0.111,24,reviewed,us,us
2018-05-19T12:37:37.830Z,19.3491669,-155.2796631,-0.89,2.48,ml,12,86,0.0243,0.13,hv,hv70163581,2018-05-19T12:43:17.760Z,"10km SSW of Volcano, Hawaii",earthquake,0.35,0.32,0.3,8,automatic,hv,hv
2018-05-19T11:10:36.930Z,19.416666,-155.300827,0.95,2.66,ml,18,89,0.01002,0.33,hv,hv70163336,2018-05-19T11:16:19.110Z,"6km WSW of Volcano, Hawaii",earthquake,0.57,0.36,0.29,9,automatic,hv,hv
2018-05-19T10:47:15.390Z,19.425333,-155.2855072,0.74,2.82,ml,14,74,0.005592,0.27,hv,hv70163276,2018-05-19T10:52:54.010Z,"5km W of Volcano, Hawaii",earthquake,0.51,0.32,0.36,6,automatic,hv,hv
2018-05-19T09:58:33.210Z,19.405,-155.281,0.01,3.01,ml,13,56,0.006997,0.38,hv,hv70163146,2018-05-19T11:49:10.680Z,"5km WSW of Volcano, Hawaii",chemical explosion,0.61,31.61,0.132,5,reviewed,hv,hv
2018-05-19T09:48:45.610Z,19.4336662,-155.260498,-0.11,2.74,ml,22,138,0.00943,0.15,hv,hv70163111,2018-05-19T09:54:23.360Z,"2km W of Volcano, Hawaii",earthquake,0.17,0.24,0.21,4,automatic,hv,hv
2018-05-19T09:42:55.010Z,19.4133339,-155.2839966,0.98,2.59,ml,12,72,0.003177,0.1,hv,hv70163091,2018-05-19T09:48:35.870Z,"5km WSW of Volcano, Hawaii",earthquake,0.21,0.3,0.34,4,automatic,hv,hv
2018-05-19T09:42:16.500Z,19.3493328,-155.2550049,-0.69,3.17,ml,34,84,0.02351,0.25,hv,hv70163086,2018-05-19T18:32:27.135Z,"9km SSW of Volcano, Hawaii",earthquake,0.3,0.29,2.48,28,automatic,hv,hv
2018-05-19T09:41:00.230Z,19.3411674,-155.2531738,-1,2.73,ml,32,74,0.03176,0.22,hv,hv70163081,2018-05-19T09:46:42.390Z,"10km S of Volcano, Hawaii",earthquake,0.24,0.3,0.36,9,automatic,hv,hv
2018-05-19T09:36:26.910Z,-4.7869,144.8576,58.12,5.2,mb,,36,3.701,0.63,us,us1000e8i4,2018-05-19T09:56:09.040Z,"114km WNW of Madang, Papua New Guinea",earthquake,8.5,6.8,0.039,211,reviewed,us,us
2018-05-19T09:25:56.799Z,57.3613,-154.9704,32.4,2.7,ml,,,,0.5,ak,ak19637225,2018-05-19T09:39:02.040Z,"62km WSW of Larsen Bay, Alaska",earthquake,,3.8,,,automatic,ak,ak
2018-05-19T08:58:29.060Z,19.3981667,-155.2929993,0.49,2.91,ml,34,50,0.008175,0.2,hv,hv70162986,2018-05-19T09:04:09.520Z,"6km WSW of Volcano, Hawaii",earthquake,0.16,0.2,0.32,5,automatic,hv,hv
2018-05-19T08:55:18.910Z,-21.6792,-67.4287,195.78,4.2,mb,,47,1.444,0.59,us,us1000e8hq,2018-05-19T09:08:31.040Z,"148km SSW of Uyuni, Bolivia",earthquake,7.8,8.5,0.216,6,reviewed,us,us
2018-05-19T08:49:00.860Z,19.4058342,-155.2814941,0.02,3,ml,19,51,0.00619,0.19,hv,hv70162961,2018-05-19T08:54:37.340Z,"5km WSW of Volcano, Hawaii",earthquake,0.22,0.22,0.35,17,automatic,hv,hv
2018-05-19T08:43:24.820Z,15.2553,-94.0957,29.54,4.3,mb,,178,2.144,0.97,us,us1000e8hm,2018-05-19T09:05:23.040Z,"89km SSW of Paredon, Mexico",earthquake,10.5,14.6,0.122,19,reviewed,us,us
2018-05-19T08:21:42.870Z,19.4063339,-155.2896729,0.99,2.82,ml,26,40,0.009757,0.2,hv,hv70162901,2018-05-19T08:27:18.690Z,"6km WSW of Volcano, Hawaii",earthquake,0.2,0.23,0.15,4,automatic,hv,hv
2018-05-19T08:15:30.520Z,19.4150009,-155.2624969,1.81,2.97,ml,15,80,0.00381,0.12,hv,hv70162886,2018-05-19T08:21:10.310Z,"3km SW of Volcano, Hawaii",earthquake,0.3,0.44,0.42,8,automatic,hv,hv
2018-05-19T07:54:48.230Z,-9.3569,119.2569,34.51,4.2,mb,,79,3.03,1.08,us,us1000e8h8,2018-05-19T08:34:00.040Z,"7km N of Radamata, Indonesia",earthquake,7.1,4.2,0.152,12,reviewed,us,us
2018-05-19T07:17:09.230Z,19.4003334,-155.2676697,0.28,3.06,ml,23,46,0.002592,0.2,hv,hv70162796,2018-05-19T07:22:51.540Z,"4km SW of Volcano, Hawaii",earthquake,0.19,0.25,0.39,10,automatic,hv,hv
2018-05-19T07:03:38.110Z,19.0136,-65.3701,36,2.58,md,7,324,0.9944,0.12,pr,pr2018139001,2018-05-19T13:36:16.460Z,"78km N of Culebra, Puerto Rico",earthquake,1.63,8.72,0.5,6,reviewed,pr,pr
2018-05-19T06:43:40.480Z,-32.1886,-71.5177,32.73,5.1,mb,,70,0.838,0.82,us,us1000e8gl,2018-05-19T16:15:41.628Z,"39km NW of La Ligua, Chile",earthquake,4.3,4.6,0.039,211,reviewed,us,us
2018-05-19T06:41:36.210Z,19.399334,-155.2793274,0.88,2.47,ml,25,42,0.00666,0.16,hv,hv70162721,2018-05-19T06:47:15.760Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.16,3,automatic,hv,hv
2018-05-19T06:19:59.810Z,19.3969994,-155.290329,0.66,3.08,ml,40,39,0.007773,0.22,hv,hv70162676,2018-05-19T06:25:40.910Z,"6km SW of Volcano, Hawaii",earthquake,0.21,0.22,0.32,15,automatic,hv,hv
2018-05-19T05:33:45.570Z,19.4068336,-155.2688293,0.58,2.64,ml,28,33,0.008945,0.23,hv,hv70162576,2018-05-19T05:39:23.740Z,"4km SW of Volcano, Hawaii",earthquake,0.24,0.23,0.27,8,automatic,hv,hv
2018-05-19T05:09:16.280Z,19.4086666,-155.289505,0.63,3.07,ml,45,28,0.008766,0.25,hv,hv70162506,2018-05-19T05:14:56.280Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.16,2.83,32,automatic,hv,hv
2018-05-19T04:49:20.140Z,19.3505001,-155.2624969,-0.79,2.67,ml,25,77,0.02098,0.16,hv,hv70162466,2018-05-19T04:54:59.980Z,"9km SSW of Volcano, Hawaii",earthquake,0.26,0.26,0.16,5,automatic,hv,hv
2018-05-19T04:34:51.290Z,19.383667,-155.2598267,0.61,2.52,ml,19,45,0.008246,0.17,hv,hv70162436,2018-05-19T04:40:30.870Z,"5km SSW of Volcano, Hawaii",earthquake,0.26,0.25,0.19,3,automatic,hv,hv
2018-05-19T04:09:30.160Z,19.4081669,-155.2879944,-1.06,2.74,ml,11,65,0.01014,0.11,hv,hv70162391,2018-05-19T04:15:11.950Z,"5km WSW of Volcano, Hawaii",earthquake,0.27,0.53,0.33,5,automatic,hv,hv
2018-05-19T04:09:29.310Z,19.4058342,-155.2956696,0.81,2.74,ml,26,45,0.004167,0.2,hv,hv70162401,2018-05-19T04:15:21.520Z,"6km WSW of Volcano, Hawaii",earthquake,0.21,0.13,0.33,5,automatic,hv,hv
2018-05-19T03:47:52.260Z,19.4073334,-155.2949982,1.03,2.85,ml,20,56,0.004778,0.2,hv,hv70162341,2018-05-19T03:53:29.600Z,"6km WSW of Volcano, Hawaii",earthquake,0.26,0.15,0.38,4,automatic,hv,hv
2018-05-19T03:47:00.450Z,19.3978329,-155.2896729,0.78,2.89,ml,36,38,0.008793,0.15,hv,hv70162336,2018-05-19T03:52:39.700Z,"6km SW of Volcano, Hawaii",earthquake,0.15,0.16,0.28,13,automatic,hv,hv
2018-05-19T03:26:36.170Z,19.4106674,-155.2630005,1.73,2.7,ml,23,53,0.003269,0.15,hv,hv70162301,2018-05-19T03:32:18.570Z,"3km SW of Volcano, Hawaii",earthquake,0.28,0.26,0.15,7,automatic,hv,hv
2018-05-19T03:23:31.300Z,19.413166,-155.2794952,0.55,2.75,ml,25,54,0.001756,0.16,hv,hv70162296,2018-05-19T03:29:07.400Z,"4km WSW of Volcano, Hawaii",earthquake,0.19,0.2,0.25,3,automatic,hv,hv
2018-05-19T02:28:51.180Z,19.4053326,-155.2845001,-0.02,3.25,ml,45,33,0.01227,0.2,hv,hv70162171,2018-05-19T02:34:34.020Z,"5km WSW of Volcano, Hawaii",earthquake,0.19,0.13,3.05,35,automatic,hv,hv
2018-05-19T02:03:33.400Z,19.4298325,-155.258667,0.11,2.73,ml,21,81,0.007092,0.22,hv,hv70162121,2018-05-19T02:09:10.460Z,"2km W of Volcano, Hawaii",earthquake,0.29,0.34,0.44,10,automatic,hv,hv
2018-05-19T02:01:29.330Z,19.4055004,-155.2644958,1.16,2.87,ml,17,62,0.007365,0.1,hv,hv70162111,2018-05-19T02:07:08.460Z,"3km SW of Volcano, Hawaii",earthquake,0.21,0.24,0.48,13,automatic,hv,hv
2018-05-19T02:01:12.820Z,19.4083328,-155.295166,0.49,3.18,ml,12,65,0.004874,0.11,hv,hv70162106,2018-05-19T02:06:52.800Z,"6km WSW of Volcano, Hawaii",earthquake,0.26,0.22,3.14,10,automatic,hv,hv
2018-05-19T01:58:11.750Z,19.4069996,-155.2875061,1.29,2.63,ml,18,63,0.007981,0.17,hv,hv70162101,2018-05-19T02:03:50.630Z,"5km WSW of Volcano, Hawaii",earthquake,0.3,0.2,0.28,4,automatic,hv,hv
2018-05-19T01:57:33.020Z,19.4009991,-155.3005066,-0.21,2.88,ml,12,117,0.005614,0.15,hv,hv70162096,2018-05-19T02:03:14.920Z,"7km WSW of Volcano, Hawaii",earthquake,0.2,0.22,0.3,7,automatic,hv,hv
2018-05-19T01:36:11.910Z,19.4048328,-155.2794952,1.07,2.56,ml,21,50,0.007288,0.14,hv,hv70162026,2018-05-19T01:41:51.490Z,"5km WSW of Volcano, Hawaii",earthquake,0.2,0.3,2.42,8,automatic,hv,hv
2018-05-19T01:21:54.910Z,47.1051,150.6499,162.92,4.3,mb,,176,5.396,0.68,us,us1000e8dp,2018-05-19T01:38:50.040Z,"240km SSE of Vostok, Russia",earthquake,12.5,11.6,0.09,35,reviewed,us,us
2018-05-19T01:19:08.120Z,19.4430008,-155.253006,-0.01,3.08,ml,20,202,0.02104,0.23,hv,hv70161981,2018-05-19T01:38:42.825Z,"2km NW of Volcano, Hawaii",earthquake,0.33,0.4,0.39,5,automatic,hv,hv
