id,name,text,desc,country,lang,city,geo
414796230,_terciosilva,@alliciacast @Inkysd uau,Nada a meu favor.,Unidentified,und,Unidentified,Unidentified,Unidentified
414796230,_terciosilva,queria uma bruna marquezine pra chamar de minha.,Nada a meu favor.,Unidentified,pt,Unidentified,Unidentified,Unidentified
161393042,marx_araujo,@andrizek Zero relação com o que vivemos no Brasil.,"Médico neurologista, tricolor de coração.",Unidentified,pt,Unidentified,Unidentified,Unidentified
222976820,Merinhah,o seu perfil foi visto por 8 pessoas nas últimas 12 horas https://t.co/gXACn4wWNd,"...Tudo Flui Nada Persisti, ou continua o mesmo..O Ser não é mais do que o Vir a Ser! (Heráclito)",Unidentified,pt,Unidentified,Unidentified,Unidentified
58865105,joaopaulovet,RT @Fodce: @DaniloGentili @ManuelaDavila https://t.co/YrM0Mw9dJ8,"Médico Veterinário, Fanático pelo Galo.",Unidentified,und,Unidentified,Unidentified,Unidentified
189964975,opstubaias,RT @naoouvofrases: Não Ouvo #161 - Hiroshima e Nagazap-@lucasinutilismo https://t.co/6FSq61kEKb,oººoOºooOOººo,Unidentified,pt,Unidentified,Unidentified,Unidentified
334424343,naiivne,só que o jalapão e a chapada elas não tão me chamando e sim exigindo,la clinique est souveraine,Unidentified,pt,Unidentified,Unidentified,Unidentified
334424343,naiivne,saudade de noronhar msm,la clinique est souveraine,Unidentified,pt,Unidentified,Unidentified,Unidentified
300446027,CarllosFranco,Gostei de um vídeo @YouTube https://t.co/JagaOz9avY. SALT - Quero Conhecer Jesus (Cover Alessandro Villas Boas),"ADM e acadêmico de Direito pela UESPI de Picos-PI  89 9 9420-6616 whats Instagram: @Carlos_franco_of Apaixonado por EBD...",Unidentified,pt,Unidentified,Unidentified,Unidentified
819232277779611649,j_brighenti,@Fooontana @stecamille,Don Corleone🍕@stecamille🌹,Unidentified,und,Unidentified,Unidentified,Unidentified
833136166761267200,ric_fiorini,RT @Fodce: @DaniloGentili @ManuelaDavila https://t.co/YrM0Mw9dJ8,Economia Esporte Notícias Política São Paulo,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/zYZiFK8U0s,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/TaXtu078qJ,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/jXSj3pwhnq,,Unidentified,und,Unidentified,Unidentified,Unidentified
117405876,mario_peres,"RT @Accuarya: A tal Queen of Zuêra, que ñ aguenta nenhuma, tá lá no youtube, cheia de mimimi popopo, defendendo a tal jornalista esquerdist…",,Unidentified,pt,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/oINdEiF0yo,,Unidentified,und,Unidentified,Unidentified,Unidentified
1021563943624626177,GaiatoJeann,minha mãe quando vai explicar uma coisa pra mim fala umas 20 vezesacha que eu tenho amnésia só pode,tenho um canal no youtube e sei fazer nissin.,Unidentified,pt,Unidentified,Unidentified,Unidentified
293808160,zezesam,"ACEITA GLOBOO PT está igual a porco indo para o abate.Agoniza, geme, grita, chora, esperneia, e nada do povo abandonar. #B17",,Unidentified,pt,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/rXnxK2amGH,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/Ckslxdjyxc,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/mE63Lq6NCP,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/clBVOvG4B4,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/23PwTvHrge,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,"ACEITA GLOBO.O PT está igual a porco indo para o abate.Agoniza, geme, grita, chora, esperneia, e nada do povo abandonar #B17",,Unidentified,pt,Unidentified,Unidentified,Unidentified
3055707754,vlcsvaldiberto,RT @Fodce: @DaniloGentili @ManuelaDavila https://t.co/YrM0Mw9dJ8,,Unidentified,und,Unidentified,Unidentified,Unidentified
293808160,zezesam,https://t.co/KretsPp4In,,Unidentified,und,Unidentified,Unidentified,Unidentified
