time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T16:17:24.610Z,19.4963341,-155.0975037,21.19,2.56,ml,48,73,0.09577,0.15,hv,hv70141402,2018-05-10T16:23:03.100Z,"2km SW of Fern Acres, Hawaii",earthquake,0.46,0.95,0.09,4,automatic,hv,hv
2018-05-10T16:14:48.820Z,19.4663334,-154.8481598,1.22,2.66,ml,18,178,0.01604,0.26,hv,hv70141392,2018-05-10T16:20:22.530Z,"7km E of Leilani Estates, Hawaii",earthquake,0.55,0.74,4.49,9,automatic,hv,hv
2018-05-10T15:36:43.590Z,36.3962,61.1694,17.25,4.8,mb,,35,2.188,0.87,us,us1000e22y,2018-05-10T16:37:25.040Z,"16km S of Sarakhs, Iran",earthquake,6.2,3.8,0.041,185,reviewed,us,us
2018-05-10T15:19:14.970Z,19.4051666,-155.2819977,0.64,2.81,ml,26,42,0.006906,0.17,hv,hv70141182,2018-05-10T15:46:41.883Z,"5km WSW of Volcano, Hawaii",earthquake,0.16,0.13,0.27,3,automatic,hv,hv
2018-05-10T15:14:57.180Z,19.4123325,-155.2254944,0.43,2.77,md,18,118,0.01241,0.16,hv,hv70141162,2018-05-10T15:49:30.401Z,"2km SSE of Volcano, Hawaii",earthquake,0.29,0.35,0.68,6,automatic,hv,hv
2018-05-10T14:41:23.240Z,54.1799,-159.7673,21.61,4.2,mb,,227,1.241,1.08,us,us1000e21t,2018-05-10T15:59:15.320Z,"68km SSW of Chernabura Island, Alaska",earthquake,12.6,14.5,0.132,16,reviewed,us,us
2018-05-10T14:19:18.670Z,19.4946671,-154.8818359,1.78,2.84,ml,7,119,0.01534,0.26,hv,hv70140962,2018-05-10T14:24:55.590Z,"3km ESE of Nanawale Estates, Hawaii",earthquake,0.96,0.67,0.31,3,automatic,hv,hv
2018-05-10T14:19:05.630Z,19.4303341,-154.8778381,2.89,2.84,ml,6,196,0.0459,0.15,hv,hv70140957,2018-05-10T14:24:43.110Z,"5km SE of Leilani Estates, Hawaii",earthquake,0.89,1.29,0.62,4,automatic,hv,hv
2018-05-10T14:11:59.710Z,19.2831669,-155.317337,10.5,2.79,ml,32,137,0.016,0.18,hv,hv70140947,2018-05-10T14:17:34.110Z,"18km SSW of Volcano, Hawaii",earthquake,0.38,0.51,5.47,3,automatic,hv,hv
2018-05-10T14:11:32.280Z,19.4528332,-154.8813324,4.07,2.8,ml,6,241,0.02815,0.22,hv,hv70140942,2018-05-10T14:17:07.240Z,"4km ESE of Leilani Estates, Hawaii",earthquake,4.05,1.79,4.51,4,automatic,hv,hv
2018-05-10T14:08:36.650Z,36.5755,71.0177,196.34,4.8,mww,,43,0.653,0.84,us,us1000e205,2018-05-10T15:48:53.130Z,"36km SSE of Jarm, Afghanistan",earthquake,7.7,5.7,0.078,16,reviewed,us,us
2018-05-10T13:24:35.560Z,19.4934998,-154.8764954,1.45,3,ml,28,117,0.01739,0.32,hv,hv70140762,2018-05-10T13:30:12.140Z,"3km ESE of Nanawale Estates, Hawaii",earthquake,0.74,0.43,0.37,5,automatic,hv,hv
2018-05-10T13:22:15.790Z,19.3994999,-155.2553406,0.91,2.89,ml,9,99,0.01017,0.18,hv,hv70140747,2018-05-10T13:27:52.310Z,"3km SSW of Volcano, Hawaii",earthquake,0.83,0.58,0.25,3,automatic,hv,hv
2018-05-10T12:27:05.880Z,19.3619995,-154.8348389,3.45,2.76,ml,6,322,0.1122,0.35,hv,hv70140517,2018-05-10T12:32:40.530Z,"14km SE of Leilani Estates, Hawaii",earthquake,15.97,25,0.45,4,automatic,hv,hv
2018-05-10T11:56:56.790Z,10.1726,125.4387,10,5.6,mww,,33,3.086,1.36,us,us1000e1yr,2018-05-10T16:55:07.040Z,"10km WSW of Libjo, Philippines",earthquake,3.7,1.8,0.073,18,reviewed,us,us
2018-05-10T11:37:15.670Z,1.0417,126.1315,44.61,4.6,mb,,47,1.263,1.24,us,us1000e1ym,2018-05-10T14:07:09.040Z,"114km ESE of Bitung, Indonesia",earthquake,8,8,0.072,58,reviewed,us,us
2018-05-10T11:28:07.520Z,8.4039,-104.2069,10,4.5,mb,,205,10.631,1.21,us,us1000e1yg,2018-05-10T14:17:30.040Z,"Northern East Pacific Rise",earthquake,14.1,2,0.054,100,reviewed,us,us
2018-05-10T11:25:40.810Z,19.4816666,-154.869339,-0.13,2.45,ml,8,140,0.01819,0.15,hv,hv70140287,2018-05-10T11:31:16.610Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.32,0.63,0.3,3,automatic,hv,hv
2018-05-10T11:02:49.520Z,19.3026676,-155.2513275,7.26,2.57,ml,42,101,0.03301,0.21,hv,hv70140207,2018-05-10T11:08:22.300Z,"14km S of Volcano, Hawaii",earthquake,0.48,0.52,3.41,7,automatic,hv,hv
2018-05-10T10:57:13.350Z,37.8114,141.6525,38.7,4.8,mb,,125,0.685,0.72,us,us1000e1y2,2018-05-10T11:25:36.040Z,"68km ENE of Namie, Japan",earthquake,6.3,6.9,0.081,47,reviewed,us,us
2018-05-10T10:53:52.690Z,8.2174,-103.7966,10,4.5,mb,,208,10.594,0.67,us,us1000e1xp,2018-05-10T11:39:46.040Z,"Northern East Pacific Rise",earthquake,13.7,2,0.055,95,reviewed,us,us
2018-05-10T10:52:59.570Z,19.4533329,-154.875,0.46,2.53,ml,21,175,0.02971,0.32,hv,hv70140172,2018-05-10T10:58:37.100Z,"4km ESE of Leilani Estates, Hawaii",earthquake,0.39,0.36,0.21,3,automatic,hv,hv
2018-05-10T10:49:28.510Z,-20.1994,-178.4452,573.66,4.7,mb,,45,4.116,0.86,us,us1000e1yb,2018-05-10T12:05:23.040Z,"56km NNE of Ndoi Island, Fiji",earthquake,9.6,6.5,0.065,71,reviewed,us,us
2018-05-10T10:38:45.740Z,19.3973331,-155.2528381,-0.17,2.95,ml,8,118,0.01185,0.13,hv,hv70140147,2018-05-10T10:44:21.310Z,"4km SSW of Volcano, Hawaii",earthquake,0.45,0.69,0.47,10,automatic,hv,hv
2018-05-10T10:34:46.480Z,19.4724998,-154.8671722,-0.14,2.83,ml,12,149,0.02162,0.3,hv,hv70140142,2018-05-10T10:40:23.980Z,"5km E of Leilani Estates, Hawaii",earthquake,0.38,0.42,0.41,4,automatic,hv,hv
2018-05-10T10:24:11.070Z,19.4823341,-155.6526642,-0.14,2.94,ml,13,72,0.05206,0.16,hv,hv70140097,2018-05-10T10:30:15.819Z,"22km E of Honaunau-Napoopoo, Hawaii",earthquake,0.4,1.15,0.68,3,automatic,hv,hv
2018-05-10T10:19:23.670Z,19.3808327,-154.8828278,-0.18,2.84,ml,41,222,0.08174,0.29,hv,hv70140092,2018-05-10T10:32:45.548Z,"10km SSE of Leilani Estates, Hawaii",earthquake,1.43,0.35,3.85,6,automatic,hv,hv
2018-05-10T09:26:07.230Z,19.4078331,-155.2838287,0.42,2.94,ml,8,92,0.01532,0.16,hv,hv70139907,2018-05-10T09:31:46.010Z,"5km WSW of Volcano, Hawaii",earthquake,0.44,0.71,0.12,3,automatic,hv,hv
2018-05-10T09:21:40.840Z,19.3826675,-155.0110016,4.22,2.62,ml,17,202,0.05106,0.22,hv,hv70139892,2018-05-10T09:27:17.490Z,"13km SW of Leilani Estates, Hawaii",earthquake,1.04,1.35,0.26,3,automatic,hv,hv
2018-05-10T09:14:17.730Z,19.4831657,-154.8699951,-0.07,2.78,ml,11,129,0.01775,0.16,hv,hv70139862,2018-05-10T09:50:41.755Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.31,0.34,0.3,3,automatic,hv,hv
2018-05-10T09:04:46.420Z,19.4181671,-155.2901611,2.04,2.81,ml,15,96,0.002946,0.28,hv,hv70139822,2018-05-10T09:10:23.300Z,"5km WSW of Volcano, Hawaii",earthquake,0.6,0.31,0.27,11,automatic,hv,hv
2018-05-10T09:04:40.420Z,19.3269997,-155.1004944,6.82,3.16,ml,14,236,0.04903,0.27,hv,hv70139827,2018-05-10T09:10:27.330Z,"18km SE of Volcano, Hawaii",earthquake,1.62,0.78,2.52,16,automatic,hv,hv
2018-05-10T08:51:22.310Z,-22.6335,-66.1717,253.53,4.7,mb,,36,1.879,0.89,us,us1000e1ui,2018-05-10T09:05:33.040Z,"49km W of Abra Pampa, Argentina",earthquake,8.2,7.7,0.094,34,reviewed,us,us
2018-05-10T08:39:48.090Z,1.0287,126.1172,10,5.3,mww,,64,1.275,0.92,us,us1000e1ub,2018-05-10T09:26:46.229Z,"113km ESE of Bitung, Indonesia",earthquake,7.2,1.8,0.068,21,reviewed,us,us
2018-05-10T08:37:29.820Z,6.0483,125.8061,161.63,4.7,mb,,75,1.039,0.84,us,us1000e1ua,2018-05-10T09:11:17.040Z,"12km ESE of Lamitan, Philippines",earthquake,8.9,7,0.078,50,reviewed,us,us
2018-05-10T08:13:04.360Z,19.482,-154.8673333,-0.07,2.71,ml,5,164,0.0201,0.08,hv,hv70139607,2018-05-10T08:29:17.270Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.32,0.37,0.191,5,reviewed,hv,hv
2018-05-10T08:05:29.690Z,19.482,-154.8673333,-0.08,2.67,ml,5,164,0.0201,0.07,hv,hv70139577,2018-05-10T16:08:05.338Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.33,0.39,0.188,6,reviewed,hv,hv
2018-05-10T08:02:49.950Z,19.4328327,-155.0281677,1.94,2.75,ml,7,127,0.0224,0.15,hv,hv70139562,2018-05-10T08:08:37.760Z,"10km SSE of Fern Acres, Hawaii",earthquake,2.62,3.08,4.5,3,automatic,hv,hv
2018-05-10T07:47:05.320Z,19.4816667,-154.8678333,-0.08,2.74,ml,5,166,0.01961,0.07,hv,hv70139502,2018-05-10T08:41:49.946Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.34,0.24,0.113,4,reviewed,hv,hv
2018-05-10T07:45:11.870Z,19.3913326,-155.2498322,-0.12,3.06,ml,40,50,0.005958,0.3,hv,hv70139497,2018-05-10T07:50:46.610Z,"4km SSW of Volcano, Hawaii",earthquake,0.21,0.28,2.78,34,automatic,hv,hv
2018-05-10T07:37:01.820Z,19.4891667,-154.8746667,2.37,2.79,ml,7,122,0.01581,0.12,hv,hv70139467,2018-05-10T08:05:11.140Z,"4km ESE of Nanawale Estates, Hawaii",earthquake,0.62,0.5,0.297,12,reviewed,hv,hv
2018-05-10T07:12:03.950Z,30.4405,51.3795,10,4.5,mb,,78,6.666,0.77,us,us1000e1tl,2018-05-10T07:29:17.040Z,"32km SW of Yasuj, Iran",earthquake,8.7,1.9,0.079,47,reviewed,us,us
2018-05-10T07:03:12.630Z,19.4818325,-154.8690033,-0.19,2.59,ml,9,131,0.01852,0.13,hv,hv70139312,2018-05-10T07:08:46.590Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.37,0.28,0.1,3,automatic,hv,hv
2018-05-10T06:59:48.480Z,19.4903333,-154.8728333,1.29,2.53,ml,6,125,0.01789,0.11,hv,hv70139297,2018-05-10T07:18:24.750Z,"4km ESE of Nanawale Estates, Hawaii",earthquake,0.59,0.45,0.15,8,reviewed,hv,hv
2018-05-10T06:56:07.350Z,19.4818333,-154.8681667,-0.09,2.52,ml,5,165,0.0193,0.06,hv,hv70139282,2018-05-10T07:24:00.070Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.23,0.25,0.272,9,reviewed,hv,hv
2018-05-10T05:21:17.200Z,19.3129997,-155.2196655,2.37,2.82,ml,9,104,0.03195,0.19,hv,hv70138967,2018-05-10T05:26:55.460Z,"13km S of Volcano, Hawaii",earthquake,0.81,1.44,0.54,4,automatic,hv,hv
2018-05-10T05:15:47.600Z,19.3758335,-155.014328,1.48,2.48,ml,35,203,0.05823,0.32,hv,hv70138952,2018-05-10T05:21:20.290Z,"14km SW of Leilani Estates, Hawaii",earthquake,1.04,0.8,3.97,9,automatic,hv,hv
2018-05-10T05:12:47.990Z,19.4703331,-154.8704987,-0.13,2.68,ml,13,152,0.01971,0.37,hv,hv70138942,2018-05-10T05:18:24.940Z,"4km E of Leilani Estates, Hawaii",earthquake,0.52,0.44,3.92,4,automatic,hv,hv
2018-05-10T05:08:51.710Z,19.3975,-155.2716667,0.18,3.01,ml,21,76,0.002825,0.09,hv,hv70138927,2018-05-10T05:38:40.610Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.191,11,reviewed,hv,hv
2018-05-10T05:03:53.380Z,27.932,128.228,10,4.3,mb,,86,1.092,0.79,us,us1000e1sg,2018-05-10T05:51:59.040Z,"132km WSW of Naze, Japan",earthquake,7.2,1.9,0.096,31,reviewed,us,us
2018-05-10T05:01:13.450Z,19.484333,-154.8858337,2.43,2.54,ml,8,113,0.004776,0.15,hv,hv70138887,2018-05-10T05:06:51.290Z,"3km ENE of Leilani Estates, Hawaii",earthquake,0.94,0.31,0.18,3,automatic,hv,hv
2018-05-10T04:41:00.070Z,19.4793333,-154.8733333,-0.13,2.46,ml,5,154,0.01748,0.11,hv,hv70138802,2018-05-10T06:00:43.830Z,"4km ENE of Leilani Estates, Hawaii",earthquake,0.46,0.37,0.133,7,reviewed,hv,hv
2018-05-10T04:34:48.320Z,19.4918333,-154.8806667,1.92,2.58,ml,7,114,0.01369,0.07,hv,hv70138772,2018-05-10T06:16:55.880Z,"3km ESE of Nanawale Estates, Hawaii",earthquake,0.64,0.31,0.18,7,reviewed,hv,hv
2018-05-10T04:04:25.330Z,38.8056679,-122.8075027,0.91,2.65,md,38,32,0.009805,0.07,nc,nc73014396,2018-05-10T15:49:14.135Z,"5km NW of The Geysers, CA",earthquake,0.17,0.27,0.15,27,automatic,nc,nc
2018-05-10T03:33:10.710Z,38.8111649,-122.8093338,2.71,2.55,md,38,38,0.01142,0.06,nc,nc73014381,2018-05-10T08:47:03.023Z,"6km NW of The Geysers, CA",earthquake,0.19,0.31,0.15,27,automatic,nc,nc
