text
Watchin’ nature be crazy (@ Blow Hole in HI) 7XoVfwrtl
"This is amazing! (@ Olivine Pools in Wailuku, HI w/ @mikeduman) EqZsj5m09"
"ハワイ島へ上陸日本人まったくおらず(´・ω・) (@ コナ国際空港 in Kailua-Kona, HI) ccAgUw5Uj"
"ดีย์ (@ Queen Ka'ahumanu Center - @queenkcenter in Kahului, HI"
"I'm at Kona International Airport in Kailua-Kona, H"
"I'm at TSA Checkpoint in Kailua-Kona, H"
"I'm at @Zippys Hilo in Hilo, H"
"I'm at Hilo, Hawaii in H"
"I'm at Krua Thai Cuisine in Kailua, H"
2151
"แค่วันแรกกุก็จะตายแล้วจ้า... (@ McDonald's in Makawao, HI"
"I'm at Regal Cinemas Makalapua 10 - @regalmovies for Avengers: Infinity War in Kailua Kona, H"
"I'm at Quinn's Almost By The Sea in Kailua-Kona, H"
"Insanely happy to be back here! (@ Four Seasons Resort Hualalai at Historic Ka`upulehu in Kailua Kona, HI"
@tmobile @HCFHawaiiMahalo to Seisha &amp; Bryson at #Hiloholdingstrong and to Mahi and Celeste from the Red Cross for
