text
"Quite possibly my favorite place in the world. At least so far... (@ Ho‘okipa Beach Park in Pāʻia, HI w/ @mikeduman"
スーパーのお酒コーナー行ったら、こんなに日本酒並んでた！ (@ KTA Super Stores in HI) Nso3M9SJF
"日本人の支配人が帰国する時にわざわざ購入して持って帰るクッキーだそうで購入してみた。 (@ Mrs. Barry's Kona Cookies in Kailua Kona, HI) q0bhSOKjJ"
@HawaiiNewsNow What is going on at Kahului Airport? Massive cloud of black smoke just appeared. #
"これから日本に帰りまーす (@ Kona International Airport in Kailua-Kona, HI"
"I'm at Hilo International Airport in Hilo, H"
"I'm at Mi's Waterfront Bistro in Kailua-Kona, H"
"全米ナンバーワンになったことのある海だそうだが、曇ってるねぇ...... (@ Hāpuna Beach State Recreation Area in Kamuela, HI) 1eRlRX9sB"
"I'm at Shiono at Mauna Lani in Hawaii County, H"
Double fisted sour and salt in your face! - Drinking a Two Tickets to Paradise by @MauiBrewingCo/@CrookedStave at
